queue_id,action_id,workstream_id,event_id,category,verification_status,still_blocks_formal_claim,current_severity,current_required_by,summary,acceptance_check
P01-001-chinese_gp:market_snapshot,chinese_gp:market_snapshot,market_snapshot_backfill,chinese_gp,market_snapshot_required,open,True,critical,2026-03-15T00:00:00+00:00,A cutoff-valid winner-market snapshot is required before edge or CLV can be evaluated.,Archive a cutoff-valid winner market snapshot and verify formal-readiness no longer emits this action_id.
P01-002-japanese_gp:market_snapshot,japanese_gp:market_snapshot,market_snapshot_backfill,japanese_gp,market_snapshot_required,open,True,critical,2026-03-29T00:00:00+00:00,A cutoff-valid winner-market snapshot is required before edge or CLV can be evaluated.,Archive a cutoff-valid winner market snapshot and verify formal-readiness no longer emits this action_id.
P01-003-miami_gp:market_snapshot,miami_gp:market_snapshot,market_snapshot_backfill,miami_gp,market_snapshot_required,open,True,critical,2026-05-03T00:00:00+00:00,A cutoff-valid winner-market snapshot is required before edge or CLV can be evaluated.,Archive a cutoff-valid winner market snapshot and verify formal-readiness no longer emits this action_id.
P01-004-canadian_gp:market_snapshot,canadian_gp:market_snapshot,market_snapshot_backfill,canadian_gp,market_snapshot_required,open,True,critical,2026-05-24T00:00:00+00:00,A cutoff-valid winner-market snapshot is required before edge or CLV can be evaluated.,Archive a cutoff-valid winner market snapshot and verify formal-readiness no longer emits this action_id.
P01-005-monaco_gp:market_snapshot,monaco_gp:market_snapshot,market_snapshot_backfill,monaco_gp,market_snapshot_required,open,True,critical,2026-06-07T00:00:00+00:00,A cutoff-valid winner-market snapshot is required before edge or CLV can be evaluated.,Archive a cutoff-valid winner market snapshot and verify formal-readiness no longer emits this action_id.
P01-006-barcelona_gp:market_snapshot,barcelona_gp:market_snapshot,market_snapshot_backfill,barcelona_gp,market_snapshot_required,open,True,critical,2026-06-14T00:00:00+00:00,A cutoff-valid winner-market snapshot is required before edge or CLV can be evaluated.,Archive a cutoff-valid winner market snapshot and verify formal-readiness no longer emits this action_id.
P01-007-austrian_gp:market_snapshot,austrian_gp:market_snapshot,market_snapshot_backfill,austrian_gp,market_snapshot_required,open,True,critical,2026-06-28T00:00:00+00:00,A cutoff-valid winner-market snapshot is required before edge or CLV can be evaluated.,Archive a cutoff-valid winner market snapshot and verify formal-readiness no longer emits this action_id.
P02-001-chinese_gp:late_market_replacement,chinese_gp:late_market_replacement,after_cutoff_market_replacement,chinese_gp,after_cutoff_market_replacement,open,True,high,2026-03-15T00:00:00+00:00,Existing market rows were captured after the replay cutoff and must be replaced.,Replace or exclude after-cutoff rows and verify replay analysis has no usable post-cutoff market input.
P02-002-japanese_gp:late_market_replacement,japanese_gp:late_market_replacement,after_cutoff_market_replacement,japanese_gp,after_cutoff_market_replacement,open,True,high,2026-03-29T00:00:00+00:00,Existing market rows were captured after the replay cutoff and must be replaced.,Replace or exclude after-cutoff rows and verify replay analysis has no usable post-cutoff market input.
P03-001-miami_gp:source_archive:1,miami_gp:source_archive:1,source_archive_proof,miami_gp,source_archive_required,open,True,high,2026-05-03T00:00:00+00:00,A late local source snapshot needs cutoff-valid archive proof or a replacement source.,Attach a cutoff-valid historical_archive proof or replacement source and verify source audit passes.
P03-002-canadian_gp:source_archive:1,canadian_gp:source_archive:1,source_archive_proof,canadian_gp,source_archive_required,open,True,high,2026-05-24T00:00:00+00:00,A late local source snapshot needs cutoff-valid archive proof or a replacement source.,Attach a cutoff-valid historical_archive proof or replacement source and verify source audit passes.
P03-003-barcelona_gp:source_archive:1,barcelona_gp:source_archive:1,source_archive_proof,barcelona_gp,source_archive_required,open,True,high,2026-06-14T00:00:00+00:00,A late local source snapshot needs cutoff-valid archive proof or a replacement source.,Attach a cutoff-valid historical_archive proof or replacement source and verify source audit passes.
P06-001-australian_gp:model_calibration,australian_gp:model_calibration,model_calibration_review,australian_gp,model_calibration_review,open,False,medium,,The actual winner was not the top pick in diagnostic replay; inspect probability rank after blocking input gaps are fixed.,Re-run prediction and calibration after blocking input gaps are fixed; record whether the miss remains.
P06-002-austrian_gp:model_calibration,austrian_gp:model_calibration,model_calibration_review,austrian_gp,model_calibration_review,open,False,medium,,The actual winner was not the top pick in diagnostic replay; inspect probability rank after blocking input gaps are fixed.,Re-run prediction and calibration after blocking input gaps are fixed; record whether the miss remains.
P06-003-barcelona_gp:model_calibration,barcelona_gp:model_calibration,model_calibration_review,barcelona_gp,model_calibration_review,open,False,medium,,The actual winner was not the top pick in diagnostic replay; inspect probability rank after blocking input gaps are fixed.,Re-run prediction and calibration after blocking input gaps are fixed; record whether the miss remains.
P06-004-miami_gp:model_calibration,miami_gp:model_calibration,model_calibration_review,miami_gp,model_calibration_review,open,False,medium,,The actual winner was not the top pick in diagnostic replay; inspect probability rank after blocking input gaps are fixed.,Re-run prediction and calibration after blocking input gaps are fixed; record whether the miss remains.
P06-005-monaco_gp:model_calibration,monaco_gp:model_calibration,model_calibration_review,monaco_gp,model_calibration_review,open,False,medium,,The actual winner was not the top pick in diagnostic replay; inspect probability rank after blocking input gaps are fixed.,Re-run prediction and calibration after blocking input gaps are fixed; record whether the miss remains.
